num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
4,64,"[64, 128, 256, 512]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,71.92780337941629,2.131595865803056,0.7085348883671185,0.025416392992990224
4,64,"[64, 128, 256, 512]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,66.09974055923897,0.8339853641677418,0.6498080557381598,0.005690198732810533
4,64,"[64, 128, 256, 512]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,51.722646677238,1.5864859728640757,0.491020447088414,0.008415544074075217
4,64,"[64, 128, 256, 512]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,68.93241167434716,0.5911983225169192,0.6779263740113588,0.0035224265674226626
4,64,"[64, 128, 256, 512]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,61.91986163159412,0.8795702682267171,0.6048843816577353,0.005908786350714492
4,64,"[64, 128, 256, 512]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,34.05410600163375,21.452133696544507,0.29292518541645535,0.24010299242712196
1,4,[4],relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,66.12903225806451,0.9843322287232181,0.6575192188176029,0.009732860902219455
1,4,[4],relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,59.91159796290958,0.5449196455753937,0.5874765291566374,0.0067686180639840495
1,4,[4],relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.25707558502715,0.6868677381991983,0.47869145196460733,0.010636747012515584
1,4,[4],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,62.634408602150536,3.0137978737685756,0.612303575332878,0.030558316802920538
1,4,[4],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,59.26780051888152,1.123503907172388,0.5765294201989333,0.018170965564264067
1,4,[4],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,49.19033203594253,0.6826190310106712,0.45710361798749616,0.00972040278179939
2,4,"[4, 8]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,70.00768049155147,0.7670884929123724,0.6918338803491476,0.009153098958844337
2,4,"[4, 8]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,62.89036225617373,0.9158260830167297,0.623590411183949,0.010104884973900973
2,4,"[4, 8]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,50.63668252366537,2.4686367435337475,0.48074514826951936,0.02459458624078924
2,4,"[4, 8]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,67.01228878648233,2.131595865803056,0.6599129030813426,0.02271008821588979
2,4,"[4, 8]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,60.1902565580859,1.1044822173922173,0.5845662306158581,0.011105181909494447
2,4,"[4, 8]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,42.530392580846666,3.817083936000943,0.3563181277686535,0.04620921914214388
3,4,"[4, 8, 16]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,67.58832565284177,0.7039286781806146,0.665631842603434,0.009731664199510402
3,4,"[4, 8, 16]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,61.56433169981743,0.5924113631900956,0.5957393468831513,0.011616173779911358
3,4,"[4, 8, 16]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,45.3462111383403,1.957655366148102,0.4220003903705032,0.018888107074100467
3,4,"[4, 8, 16]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,60.02304147465438,1.612903225806452,0.5711567487667147,0.02140760230041224
3,4,"[4, 8, 16]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,53.19496492745267,0.5687959483789298,0.4912747102008536,0.010253706719429528
3,4,"[4, 8, 16]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,9.249915909855364,0.2040351135991746,0.015667595097732703,0.0006654067968001406
4,4,"[4, 8, 16, 32]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,63.17204301075269,1.4991721425455522,0.6139869989681924,0.017353332935537827
4,4,"[4, 8, 16, 32]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,57.35562602094744,1.5048926261517739,0.5541369309134492,0.01904547056587825
4,4,"[4, 8, 16, 32]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,41.679880832252174,0.6771172356771298,0.38302993111399813,0.005215535586826538
4,4,"[4, 8, 16, 32]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,50.42242703533026,1.0325906036673365,0.4581359608053692,0.009822231373896909
4,4,"[4, 8, 16, 32]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,42.923032574228884,1.2927118665193824,0.3594771151049266,0.01839539668834142
4,4,"[4, 8, 16, 32]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,9.124981980683293,0.16624711827404903,0.015263371718069145,0.0005347540557916629
