problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
eil101,tournament,order,scramble,1,0,86.00953895071542,0.4413333333333333,30.04171101252238
eil101,tournament,order,scramble,0,1,87.17541070482247,0.5656666666666667,39.4906792640686
eil101,tournament,order,scramble,0,0,88.12930577636457,0.3553333333333333,24.95955228805542
eil101,rank,pmx,swap,1,1,62.21515633280338,0.7642222222222221,44.67424050966898
eil101,rank,pmx,swap,1,0,65.18282988871223,0.923777777777778,53.7807366847992
eil101,rank,pmx,swap,0,1,55.48489666136725,0.8688888888888888,51.88576126098633
eil101,rank,pmx,swap,0,0,68.09750927397987,0.9244444444444444,55.23414508501688
eil101,rank,pmx,inversion,1,1,14.520402755696873,0.5855555555555556,34.159321308135986
eil101,rank,pmx,inversion,1,0,17.75304716481187,0.5437777777777778,31.668135404586792
eil101,rank,pmx,inversion,0,1,14.679385267620562,0.5897777777777778,35.16777857144674
eil101,rank,pmx,inversion,0,0,15.156332803391626,0.6642222222222222,39.52011926968893
eil101,rank,pmx,scramble,1,1,175.83465818759933,0.653888888888889,38.59460377693176
eil101,rank,pmx,scramble,1,0,168.04451510333865,0.5627777777777777,33.13387004534403
eil101,rank,pmx,scramble,0,1,161.79120296767354,0.6037777777777777,36.52924021085104
eil101,rank,pmx,scramble,0,0,150.7154213036566,0.6706666666666666,40.39756774902344
eil101,rank,order,swap,1,1,51.82829888712242,0.7758888888888889,52.305745442708336
eil101,rank,order,swap,1,0,52.252252252252255,0.7081111111111111,47.70341046651205
eil101,rank,order,swap,0,1,46.89984101748808,0.5897777777777777,40.796619256337486
eil101,rank,order,swap,0,0,46.74085850556438,0.8056666666666668,55.63382109006246
eil101,rank,order,inversion,1,1,14.67938526762056,0.5698888888888889,38.35855372746786
eil101,rank,order,inversion,1,0,14.096449390567038,0.5677777777777778,38.11536916097005
eil101,rank,order,inversion,0,1,13.72549019607843,0.6011111111111112,41.41043337186178
eil101,rank,order,inversion,0,0,11.81770005299417,0.6756666666666667,46.48864507675171
eil101,rank,order,scramble,1,1,102.91467938526762,0.7052222222222223,48.01919356981913
eil101,rank,order,scramble,1,0,69.21038685744568,0.7756666666666666,52.72697559992472
eil101,rank,order,scramble,0,1,72.91997880233174,0.7526666666666667,52.52909739812216
eil101,rank,order,scramble,0,0,82.3529411764706,0.6523333333333333,45.5220475991567
lin105,tournament,pmx,swap,1,1,114.31022092403276,0.9234444444444444,56.81326691309611
lin105,tournament,pmx,swap,1,0,117.660013445534,1.0,61.353529930114746
lin105,tournament,pmx,swap,0,1,101.82210167605535,0.9761111111111112,61.53590488433838
